21090,9011,573,94.021,88
21100,6783,2584,72.414,74
21130,4016,709,84.995,79
21670,818,295,73.495,69
21680,525,337,60.905,86
21690,18616,2753,87.117,86
21980,1863,335,84.759,78
22000,4321,272,94.078,90
22100,4633,367,92.66,72
22120,1875,120,93.985,78
22180,2319,249,90.304,73
22200,2219,391,85.019,77
22230,2930,276,91.391,74
22300,12126,3330,78.455,91
22320,15393,757,95.313,89
22330,27666,1281,95.575,94
22340,1676,752,69.028,76
22350,4203,2604,61.745,70
22370,23741,6497,78.514,91
22490,46753,2153,95.598,84
22600,3218,520,86.089,79
22610,1016,376,72.989,64
22650,581,264,68.757,63
22670,313,120,72.286,64
23310,3051,703,81.273,66
23450,437,161,73.077,72
23490,1457,195,88.196,79
24010,13834,6789,67.08,
24200,12849,3328,79.428,72
24240,34709,2521,93.229,76
24400,356,146,70.916,
24420,1144,148,88.545,82
24720,3757,566,86.907,70
24740,11164,1673,86.967,87
24780,4826,1258,79.323,
24790,4228,455,90.284,85
24800,2643,528,83.349,64
24810,2289,111,95.375,77
24840,3014,773,79.588,78
24870,1834,574,76.163,83
24960,28665,4633,86.086,87
24980,13937,833,94.36,94
25000,4683,1473,76.072,
25800,1426,291,83.052,83
25890,3940,1145,77.483,77
25900,1916,194,90.806,79
25980,500,220,69.444,72
26500,729,97,88.257,73
26800,7557,468,94.168,90
26900,794,127,86.211,79
28000,3995,2569,60.862,66
29180,976,128,88.406,80
29800,3236,848,79.236,
31170,442,55,88.934,79
31270,1906,256,88.159,70
31280,7540,989,88.404,71
31290,1949,261,88.19,74
32360,3353,157,95.527,86
32370,20306,2086,90.684,
32380,1115,362,75.491,91
32390,476,253,65.295,
32400,1946,238,89.103,
32420,268,347,43.577,46
32430,4307,1887,69.535,65
32440,11824,464,96.224,77
32460,1647,87,94.983,87
32470,21547,610,97.247,
32500,2840,1989,58.811,59
32510,3356,243,93.248,76
32800,6721,1742,79.416,66
33100,1770,123,93.502,
33110,257,126,67.102,
33120,1589,128,92.545,
33210,351,42,89.313,82
33230,26279,3539,88.131,86
33320,843,387,68.537,75
33460,1589,814,66.126,76
33520,548,72,88.387,
33900,1762,347,83.547,77
33930,19347,1610,92.318,73
34010,3539,861,80.432,72
34030,14141,1257,91.837,81
34270,6118,1081,84.984,
34600,360,127,73.922,69
34830,3249,2499,56.524,55
34870,10453,3694,73.888,52
34900,11168,3042,78.593,
35000,2768,363,88.406,74
35130,3276,312,91.304,82
35140,31501,1245,96.198,91
35450,31623,2527,92.6,76
35460,701,241,74.416,68
35480,686,215,76.138,
35700,11870,522,95.788,80
35720,18687,842,95.688,84
37400,538,127,80.902,84
38410,7906,491,94.153,86
38420,1242,310,80.026,82
38700,1758,243,87.856,80
38740,1837,156,92.173,74
39000,10695,1187,90.01,
39120,7562,2540,74.856,84
39140,17660,1322,93.036,
39150,6677,833,88.908,
39190,2063,541,79.224,86
39200,1288,483,72.727,80
39210,28232,3908,87.841,83
9310,1080,113,90.528,
39500,5496,1128,82.971,63
39510,6911,642,91.5,79
39540,1260,237,84.168,74
39650,483,221,68.608,61
39660,145,63,69.712,63
39680,2676,580,82.187,56
39690,1096,943,53.752,63
39800,2270,299,88.361,
40100,8148,1164,87.5,77
40300,5486,724,88.341,77
40390,3785,1005,79.019,69
40400,1218,241,83.482,80
40700,8229,378,95.608,85
40800,27203,1455,94.923,87
40950,5761,303,95.003,81
40960,2358,359,86.787,
40970,9946,277,97.29,78
40980,1018,199,83.648,
40990,4424,441,90.935,88
41000,5456,349,93.988,68
41060,1187,46,96.269,85
41070,20038,2567,88.644,72
41100,1187,531,69.092,
41300,1657,142,92.107,79
41500,4827,424,91.925,83
41700,16804,587,96.625,80
41900,787,244,76.334,70
42120,1518,585,72.183,70
42170,449,353,55.985,52
42500,248,164,60.194,
42670,3644,287,92.699,76
42700,21957,2400,90.147,81
42910,23882,2813,89.462,74
42960,10225,938,91.597,75
42990,378,485,43.801,65
43000,573,362,61.283,63
44350,22502,4464,83.446,80
44360,461,170,73.059,83
45200,19,3,86.364,
45700,1759,160,91.662,78
45740,3743,1143,76.607,78
45760,9862,1228,88.927,
45770,1850,485,79.229,66
46500,3035,362,89.344,82
46510,1283,208,86.05,80
47400,1179,2702,30.379,
47410,5430,2926,64.983,75
47700,510,2340,17.895,64
47780,13834,963,93.492,87
47790,4584,1816,71.625,72
47800,715,295,70.792,77
47810,12744,1187,91.479,91
47870,15575,3377,82.181,86
47890,20180,3428,85.479,86
48000,36298,2472,93.624,88
48190,11043,1339,89.186,88
48220,3488,3672,48.715,77
48240,6531,4281,60.405,83
48700,124217,2910,97.711,78
48720,9375,1346,87.445,68
48950,423,69,85.976,76
49520,228697,15879,93.508,89
49540,5271,3859,57.733,45
49600,6611,345,95.04,70
50130,43097,2262,95.013,77
50300,40621,3131,92.844,76
50620,9948,1174,89.444,83
55040,1579,191,89.209,75
55100,6548,4384,59.898,70
55110,2992,1115,72.851,75
55140,2256,407,84.716,
55150,14427,1258,91.98,74
55230,58237,2388,96.061,84
57300,25592,1440,94.673,85
57650,271,333,44.868,65
57690,10166,929,91.627,78
57740,932,392,70.393,62
57900,5545,2691,67.326,54
58520,761,251,75.198,73
58610,2156,616,77.778,81
61700,1691,265,86.452,76
63000,757,178,80.963,
63200,823,231,78.083,82
63380,21278,2864,88.137,66
63500,681,184,78.728,
