0,Action
1,Free to Play
2,Strategy
3,Adventure
4,Indie
5,RPG
6,Animation & Modeling
7,Video Production
9,Simulation
10,Racing
11,Casual
13,Massively Multiplayer
16,Sports
17,Early Access
18,Violent
19,Gore
20,Design & Illustration
21,Web Publishing
24,Nudity
25,Utilities
26,Education
27,Software Training
28,Game Development
29,Photo Editing
35,Sexual Content
36,Audio Production
37,Movie
