10,0
20,0
30,0
40,0
50,1
60,0
70,0
80,0
130,1
220,0
240,0
280,0
300,0
320,0
340,0
360,0
380,0
400,0
420,0
440,0
500,0
550,0
570,0
620,0
630,0
730,0
730,2
1200,3
1250,3
1500,4
1510,4
1520,4
1530,4
1700,5
1840,0
1900,6
1930,6
2100,5
2200,7
2210,8
2270,7
2280,7
2290,7
2300,7
2310,7
2320,7
2330,9
2360,10
2400,11
2420,11
2500,12
2590,13
2600,14
2620,15
2630,15
2640,16
2700,17
2700,18
2800,19
2810,19
2820,19
2840,19
2850,19
2870,19
2990,20
3130,21
3170,22
3270,23
3320,24
3480,24
3483,24
3590,24
3700,25
3720,26
3730,25
3830,27
3900,28
3910,28
3920,28
3990,28
4000,29
4500,30
4560,31
4570,31
4580,31
4700,32
4700,33
4700,34
4720,35
4760,32
4770,36
4780,36
4780,33
4780,34
4850,30
6000,37
6010,37
6020,10
6030,10
6060,38
6120,39
6220,20
6310,40
6370,41
6510,42
6550,42
6800,43
6810,43
6830,43
6840,43
6850,44
6860,44
6870,45
6880,46
6900,47
6910,48
6920,48
6980,48
7000,49
7520,6
7600,28
7600,33
7650,50
7660,50
7670,51
7670,52
7760,50
7830,53
7940,15
8000,49
8080,54
8140,49
8170,55
8190,46
8230,56
8500,57
8600,58
8800,28
8850,59
8850,60
8850,61
8850,52
8870,62
8870,63
8930,28
8930,18
8930,64
8980,1
9000,7
9010,16
9030,65
9050,7
9160,7
9180,7
9200,7
9310,31
9340,31
9350,66
9420,66
9450,31
9460,67
9480,68
9880,69
10090,70
10150,71
10180,15
10500,32
10500,33
10500,34
10680,25
11020,72
11200,12
11450,73
11450,74
12100,75
12110,75
12120,75
12140,76
12150,76
12170,77
12180,77
12200,78
12210,77
12210,79
12220,80
12320,81
12360,20
12710,73
12710,74
12770,82
12810,73
12810,74
12830,83
12900,84
13140,85
13200,86
13210,86
13230,86
13240,86
13250,86
13500,87
13520,88
13530,89
13560,87
13570,89
13580,89
13600,90
15100,89
15120,89
15130,87
15170,91
15370,91
15560,93
15560,94
15620,31
15620,95
15700,96
15710,96
15740,96
15750,96
16720,97
16730,98
16810,28
16900,99
17080,100
17300,101
17330,101
17390,102
17410,103
17430,104
17440,102
17450,105
17460,105
17470,106
17480,107
17500,108
17570,109
17580,110
17710,111
17710,112
18500,2
18700,113
19830,114
19830,89
19900,89
19980,89
20500,68
20500,115
20500,116
20510,30
20530,68
20540,31
20550,68
20570,31
20570,95
20820,117
20900,118
20920,118
21000,119
21090,120
21090,121
21100,122
21130,123
21670,124
21680,124
21690,124
21980,125
22000,126
22100,127
22120,128
22180,128
22200,129
22230,129
22300,130
22320,130
22330,130
22340,131
22350,132
22370,130
22490,133
22600,134
22610,135
22650,134
22670,134
23310,136
23450,137
23490,137
24010,138
24200,139
24240,140
24400,141
24420,142
24720,143
24740,144
24780,143
24780,18
24790,107
24800,107
24810,107
24840,107
24870,145
24960,103
24980,105
