10,9273,295,19625
20,49,20,89
30,954,32,141
40,649,8,6
50,781,139,102
60,37,10,7
70,609,122,683
80,2349,52,616
130,604,83,52
220,763,375,961
240,6636,444,7885
280,817,113,56
300,5135,204,667
320,743,41,242
340,253,24,27
360,554,5,15
380,467,207,164
400,363,152,499
420,594,303,211
440,9195,354,88574
500,2118,252,609
550,2430,524,19503
570,34426,1130,571477
620,854,471,3082
630,433,113,91
730,28523,6676,1079320
1200,659,239,20
1250,2883,271,391
1500,45,18,2
1510,125,76,7
1520,170,57,33
1530,51,60,2
1700,1,1,11
1840,995,60,1514
1900,1020,425,121
1930,798,416,149
2100,586,381,64
2200,52,34,39
2210,169,193,16
2270,24,31,15
2280,127,65,73
2290,4,6,9
2300,52,40,67
2310,158,106,39
2320,47,17,37
2330,1,1,1
2360,56,98,7
2400,243,208,8
2420,63,67,1
2500,73,74,4
2590,403,406,2
2600,683,412,97
2620,388,335,51
2630,220,279,328
2640,158,143,42
2700,749,402,136
2800,40,40,6
2810,73,101,24
2820,1388,618,119
2840,6,11,6
2850,0,0,1
2870,801,238,41
2990,180,102,129
3130,629,705,17
3170,1748,1149,69
3270,63,92,3
3320,203,374,55
3480,405,395,125
3483,128,161,6
3590,998,453,2847
3700,105,70,22
3720,441,612,174
3730,625,510,7
3830,318,236,57
3900,1653,689,601
3910,1090,48,1306
3920,560,459,198
3990,111,138,176
4000,9639,1497,35573
4500,880,512,513
4560,653,117,107
4570,374,206,157
4580,1074,595,375
4700,2812,597,4848
4720,72,103,5
4760,693,228,2131
4770,561,210,49
4780,0,0,0
4850,122,122,221
6000,310,189,96
6010,39,39,26
6020,474,195,165
6030,341,421,39
6060,519,211,354
6120,154,128,6
6220,52,45,13
6310,389,746,9
6370,410,778,2
6510,309,351,5
6550,39,38,9
6800,128,23,97
6810,41,10,20
6830,104,49,65
6840,64,17,13
6850,95,28,23
6860,507,141,75
6870,304,448,13
6880,74,46,11
6900,108,27,9
6910,406,96,82
6920,77,23,9
6980,25,37,13
7000,338,415,64
7520,1036,424,159
7600,584,839,117
7650,174,336,28
7660,101,103,3
7670,339,158,91
7760,1584,1877,69
7830,579,791,45
7940,654,316,615
8000,400,548,93
8080,107,116,7
8140,181,163,64
8170,633,879,40
8190,605,149,258
8230,96,116,2
8500,7514,127,4724
8600,3155,111,28
8800,1071,592,1551
8850,403,76,54
8870,859,642,655
8930,6756,2578,20936
8980,1529,687,190
9000,19,33,2
9010,85,119,103
9030,1,1,2
9050,254,235,34
9160,9,5,4
9180,8,8,8
9200,623,304,107
9310,611,496,49
9340,307,27,59
9350,469,110,100
9420,1958,583,585
9450,2043,1297,1080
9460,183,236,6
9480,659,177,126
9880,771,374,190
10090,2087,1200,722
10150,498,348,208
10180,992,422,583
