274,Over The Top Games,,
275,Puny Human,,
276,Sven Co-op team,,
277,Digital Eel,,
278,OP Productions LLC,,
279,Radial Games Corp,,
280,Minority Media,,
281,Tiger Style,,
282,Artifice Studio,,
284,ATLUS USA,,
285,Sauropod Studio,,
286,RETO MOTO,,
287,Beamdog,,
288,Going Loud Studios,,
289,Brightrock Games,,
290,Metanet Software Inc.,,
292,droqen,,
293,Threaks,,
294,Facepalm Games,,
295,Cardboard Computer,,
146,38 Studios,2006,29
168,Two Tribes,2000,10
188,tinyBuild,2011,29
257,505 Games,2006,3
296,Snowbird Games,,
297,Fullbright,,
298,Stone Blade Entertainment,,
299,22cans Ltd.,,
300,Shiro Games,,
301,Refract,,
302,Bossa Studios,,
303,The Men Who Wear Many Hats,,
304,Lo-Fi Games,,
305,@unepic_fran,,
307,D3 Go!,,
309,The Secret Experiment,,
311,Ludochip,,
312,Dylan Fitterer,,
313,Zero Point Software,,
314,"FromSoftware, Inc",,
315,KOG Games,,
317,Pathea Games,,
318,Apogee Software,,
319,Nightdive Studios,,
320,Reverb Triple XP,,
322,Red Barrels,,
323,"Monochrome, Inc",,
325,3909,,
326,Crackshell,,
327,Mossmouth,,
328,Toxic Games,,
329,Greenheart Games,,
330,OVALIS INVESTMENTS LIMITED,,
331,Bennett Foddy,,
332,Top Meadow,,
333,Cellar Door Games,,
334,Warner Bros. Games,,
335,Full Control,,
336,"Masangsoft, Inc.",,
337,Endnight Games Ltd,,
338,M2H,,
339,Big Robot Ltd,,
340,Shining Rock Software LLC,,
341,My Little Planet Ltd,,
342,Blackpowder Games,,
343,Double Eleven,,
344,Gamepires,,
346,Gearbox Publishing,,
348,Schine GmbH,,
351,Autumn Games,,
352,Positech Games,,
353,Ironhide Game Studio,,
354,Ndemic Creations,,
355,WildTangent,,
356,RuneStorm,,
357,Nomad Games,,
358,Vertigo Gaming Inc.,,
359,Brace Yourself Games,,
360,Adult Swim Games,,
362,"Nether Productions, LLC",,
363,Black Maple Games,,
364,Team Reptile,,
365,KillHouse Games,,
366,Hitcents,,
367,Blue Bottle Games,,
368,Rain Games,,
369,BetaDwarf,,
370,Infinite Monkeys Entertainment Ltd.,,
371,Necrophone Games,,
372,Step 1 Games LLC,,
373,Archive Entertainment,,
374,Headup,,
375,Stygian Software,,
376,Krillbite Studio,,
377,Yacht Club Games,,
378,Behold Studios,,
379,"Marvelous USA, Inc.",,
380,9heads Game Studios,,
381,Matt Makes Games Inc.,,
382,The Fun Pimps Entertainment LLC,,
383,MangaGamer,,
384,Cornered Rat Software,,
385,Hanako Games,,
386,Endlessfluff Games,,
387,Asteroid Base,,
388,Spicyhorse Games,,
389,Blue Isle Publishing,,
390,Image & Form Games,,
392,Aerosoft GmbH,,
393,Rocketcat Games,,
394,Minor Key Games,,
395,BeautiFun Games,,
396,Leafy Games,,
397,Psyonix LLC,,
398,Flippfly LLC,,
399,Gears for Breakfast,,
401,DigitalDNA Games LLC,,
402,Expansive Worlds,,
403,Avalanche Studios,,
404,Cherry Pop Games,,
405,Wizards of the Coast,,
406,Northway Games,,
407,Mixamo,,
409,Lightmare Studios,,
410,Yodo1 Games,,
411,2Play,,
412,Heart Machine,,
413,Fruitbat Factory,,
414,The Astronauts,,
415,ARTE France,,
416,WB Games,,
417,Netcore Games,,
418,Digital Leisure Inc.,,
419,HandyGames,,
421,Serenity Forge,,
422,Red Hook Studios,,
423,eigoMANGA,,
424,Coilworks,,
425,Noble Empire Corp.,,
426,Revolution Software Ltd,,
427,IndieGala,,
428,"H2 Interactive Co., Ltd.",,
429,Versus Evil	,,
430,Mad Otter Games,,
431,PLAYISM,,
432,Secret Exit Ltd.,,
433,Senpai Studios,,
434,Vae Victis Games,,
435,Silver Dollar Games,,
436,Interdimensional Games Inc,,
437,Sekai Project,,
438,Unknown Worlds Entertainment,,
439,Ironward,,
440,Matt Roszak,,
441,Fistful of Frags Team,,
442,Net Games Distribution LTD,,
443,Matthew Brown,,
444,Thomas Bowker,,
445,Smilegate West,,
446,TheGameCreators,,
447,iRacing.com Motorsport Simulations,,
448,iRacing,,
449,Elijah Newman-Gomez,,
308,Slightly Mad Studios,2008,9
310,Nival,1996,5
450,Defiant Development,,
451,Cliffhanger Productions,,
452,Funbox Media Ltd,,
453,Aeria Games,,
454,Brilliant Skies Ltd.,,
455,SmashGames,,
456,EVGA,,
457,5 Lives Studios,,
458,Studio MDHR Entertainment Inc.,,
459,Panic Art Studios,,
460,Dreadlocks Ltd.,,
462,WhisperGames,,
463,Frogmind,,
464,Pixel Ferrets,,
465,Digital Happiness,,
466,Laminar Research,,
467,Osumia Games,,
468,The Quinnspiracy,,
469,Icetesy SPRL,,
470,82 Apps,,
471,Awesome Games Studio,,
472,PlayWay S.A.,,
473,BumpkinBrothers,,
474,Senscape,,
475,Surprise Attack,,
476,Nexon Korea Corporation,,
477,Vagabond Dog,,
478,Stellar Jockeys,,
479,Acid Wizard Studio,,
480,"Laser Guided Games, LLC",,
481,Atomic Kraken,,
482,JForce Games,,
483,Holotech Studios,,
484,Digital Confectioners,,
485,Coatsink,,
486,KPL,,
487,Hello Games,,
488,Rogue Factor,,
489,"KOEI TECMO GAMES CO., LTD.",,
490,Дмитриев Максим Константинович,,
492,Lince Works,,
493,Dear Villagers,,
494,Knuckle Cracker,,
495,Volens Nolens Games,,
496,Krita Team,,
497,Throwback Entertainment,,
498,Playful Corp.,,
499,1999UEM,,
500,RCTO Productions,,
501,EasyAntiCheat Ltd,,
502,"Idea Factory International, Inc.",,
503,"IDEA FACTORY Co., Ltd.",,
504,Ska Studios,,
505,Crystal Shard,,
506,Dotemu,,
507,BeamNG,,
508,Finish Line Games,,
509,Holy Warp,,
510,The Digital Puzzle Company,,
511,Spearhead Games,,
512,Tortuga Team,,
513,Boneloaf,,
514,Payload Studios,,
515,"BadFly Interactive, a.s.",,
516,Digerati,,
517,Berserk Games,,
518,ALICE IN DISSONANCE,,
519,KISS ltd,,
521,Star Vault AB,,
522,Dinosaur Polo Club,,
523,Fireproof Games,,
524,"Gravity Interactive, Inc.",,
525,astragon Entertainment,,
526,Bitbox Ltd.,,
527,Double Damage Games,,
528,League of Geeks,,
529,ELYLAND  INVESTMENT COMPANY Ltd,,
530,Over The Moon,,
531,Six Foot,,
532,Grey Box,,
533,MY.GAMES,,
534,Utopian World of Sandwiches,,
535,Microblast Games,,
536,The Knights of Unity,,
537,Masthead Studios Ltd,,
538,Thegamewallstudios,,
539,Gamigo AG,,
540,Camshaft Software Ltd,,
541,Powerhoof,,
542,VaragtP,,
543,Ludeon Studios,,
544,Andy Makes,,
545,E-Line Media,,
546,Aquiris Game Studio,,
547,Stegersaurus Software Inc.,,
548,Armor Games Studios,,
549,Asteristic Game Studio,,
550,AwesomeBlade,,
551,Ubisoft Entertainment,,
552,DL Softworks,,
553,Wargaming Labs,,
554,Hunted Cow Studios,,
555,Scott Cawthon,,
556,Creability,,
557,Night Node,,
559,Toadman Interactive,,
561,Entrada Interactive LLC,,
562,Suba Games,,
563,Freejam,,
564,Uppercut Games Pty Ltd,,
565,Samurai Punk,,
566,Crytek ,,
567,Subvert Games,,
568,Polygon Moon,,
569,Ian MacLarty,,
571,Novalink,,
572,Everything Unlimited Ltd.,,
573,Failbetter Games,,
574,Smartly Dressed Games,,
576,Hinterland Studio Inc.,,
577,Kitfox Games,,
578,Ninja Kiwi,,
579,Antanas Marcelionis,,
580,Game-Labs,,
581,Cyan Inc.,,
582,SA Industry,,
583,Deli Interactive LLC,,
584,Tribe Studios,,
585,Last Bastion Studios LLC,,
586,Bedtime Digital Games,,
587,Milkstone Studios,,
588,Nik Nak Studios,,
589,CyberCoconut,,
590,"Spike Chunsoft Co., Ltd.",,
591,New Reality Games,,
592,Hyper Hippo Games,,
593,BlueLine Games,,
594,Slitherine Ltd.,,
596,Beam Team Pty Ltd,,
597,David OReilly,,
598,Teotl Studios,,
599,Winged Cloud,,
600,Dan  Walters,,
601,Sinclair Strange,,
602,Bernt Andreas Eide,,
603,Rake in Grass,,
461,Techland,1991,26
604,"Oddworld Inhabitants, Inc.",,
605,Noble Master LLC,,
606,Bluebutton Games,,
607,Double Action Factory,,
608,REMIMORY,,
609,Cosmic Cow LLC,,
610,Axyos Games,,
611,The Molasses Flood,,
612,Claymatic Games,,
613,MobileBits,,
614,Feral interactive (Mac),,
615,Chasing Carrots,,
616,Circle Five Publishing,,
617,Supra Games,,
618,Batterystaple Games,,
619,RobTop Games,,
620,SUPERHOT Team,,
621,Indimo Labs LLC,,
622,Choice Provisions,,
623,Thunder Lotus Games,,
624,Those Awesome Guys,,
